,trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud,scannedLineItems,pricePerScannedLineItem,scansWithoutRegistrationPerScannedLineItem,quantityModificationsPerScannedLineItem,lineItemVoidsPerSecond,scansWithoutRegistrationPerSecond,quantityModificationsPerSecond,secondsPerEuro,lineItemVoidsPerEuro,scansWithoutRegistrationPerEuro,quantityModificationsPerEuro
0,5,1054,54.7,7,0,3,0.0275142314990512,0.0518975332068311,0.24137931034482799,0,28.999999999999964,1.8862068965517265,0.0,0.10344827586206909,0.006641366223908918,0.0,0.0028462998102466793,19.268738574040217,0.12797074954296161,0.0,0.054844606946983544
1,3,108,27.36,5,2,4,0.12962962962963,0.253333333333333,0.3571428571428571,0,14.00000000000004,1.9542857142857086,0.14285714285714243,0.28571428571428487,0.046296296296296294,0.018518518518518517,0.037037037037037035,3.947368421052632,0.1827485380116959,0.07309941520467836,0.14619883040935672
2,3,1516,62.16,3,10,5,0.00857519788918206,0.0410026385224274,0.23076923076923103,0,13.000000000000002,4.78153846153846,0.7692307692307692,0.3846153846153846,0.001978891820580475,0.006596306068601583,0.0032981530343007917,24.38867438867439,0.04826254826254826,0.16087516087516088,0.08043758043758044
3,6,1791,92.31,8,4,4,0.0161920714684534,0.0515410385259632,0.27586206896551696,0,29.00000000000004,3.183103448275858,0.13793103448275842,0.13793103448275842,0.00446677833612507,0.002233389168062535,0.002233389168062535,19.40201494962626,0.08666450005416532,0.04333225002708266,0.04333225002708266
4,5,430,81.53,3,7,2,0.0627906976744186,0.18960465116279102,0.111111111111111,0,26.999999999999996,3.01962962962963,0.2592592592592593,0.07407407407407408,0.0069767441860465115,0.01627906976744186,0.004651162790697674,5.274132221268244,0.0367962713111738,0.08585796639273886,0.024530847540782535
5,1,770,11.09,11,5,2,0.0337662337662338,0.0144025974025974,0.42307692307692296,1,26.000000000000025,0.42653846153846114,0.19230769230769212,0.07692307692307684,0.014285714285714285,0.006493506493506494,0.0025974025974025974,69.43192064923355,0.9918845807033364,0.4508566275924256,0.18034265103697025
6,3,294,55.63,2,7,1,0.0374149659863946,0.18921768707482997,0.18181818181818202,0,11.000000000000012,5.057272727272721,0.6363636363636357,0.0909090909090908,0.006802721088435374,0.023809523809523808,0.003401360544217687,5.2849182095991365,0.03595182455509617,0.1258313859428366,0.017975912277548085
7,2,1545,22.8,0,8,4,0.00647249190938511,0.0147572815533981,0.0,0,9.999999999999995,2.280000000000001,0.8000000000000004,0.4000000000000002,0.0,0.005177993527508091,0.0025889967637540453,67.76315789473684,0.0,0.3508771929824561,0.17543859649122806
8,6,962,65.44,7,0,2,0.0280665280665281,0.068024948024948,0.25925925925925897,0,27.000000000000032,2.423703703703701,0.0,0.07407407407407399,0.007276507276507277,0.0,0.002079002079002079,14.700488997555013,0.10696821515892421,0.0,0.03056234718826406
9,2,725,41.08,10,2,4,0.0372413793103448,0.0566620689655172,0.37037037037037,0,26.99999999999998,1.5214814814814825,0.07407407407407414,0.14814814814814828,0.013793103448275862,0.002758620689655172,0.005517241379310344,17.648490749756572,0.24342745861733203,0.04868549172346641,0.09737098344693282
10,5,1533,84.73,4,2,4,0.0104370515329419,0.0552707110241357,0.25,0,15.999999999999932,5.2956250000000225,0.12500000000000053,0.25000000000000105,0.002609262883235486,0.001304631441617743,0.002609262883235486,18.092765254337305,0.04720878083323498,0.02360439041661749,0.04720878083323498
11,4,764,28.98,8,0,0,0.0261780104712042,0.0379319371727749,0.4,0,20.000000000000007,1.4489999999999994,0.0,0.0,0.010471204188481676,0.0,0.0,26.363008971704623,0.27605244996549344,0.0,0.0
12,4,1736,5.46,4,10,4,0.00576036866359447,0.0031451612903225803,0.4,0,10.0,0.546,1.0,0.4,0.002304147465437788,0.00576036866359447,0.002304147465437788,317.94871794871796,0.7326007326007326,1.8315018315018314,0.7326007326007326
